tic_id,host_path,period,rp,a,inc,t0,depth_ppm,label,npz_path
SYN_0000,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_144065872.npz,13.727474752809517,0.13020370878759355,36.381561307671376,85.47088673943824,1338.6931227351927,16953.005782044464,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0000.npz
SYN_0001,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_355703913.npz,23.073051357720235,0.12004900273877352,10.765113470399564,87.25192968947783,1333.854325851652,14411.763058574052,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0001.npz
SYN_0002,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_231663901.npz,19.672088482339273,0.12518662585791618,24.9536389472299,86.13619360892389,1336.2101881625051,15671.691293689886,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0002.npz
SYN_0003,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_92352620.npz,2.8507004270210845,0.1258683640789615,33.42489796049291,88.79043870042688,1326.3119592072558,15842.845075914001,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0003.npz
SYN_0004,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_144065872.npz,26.90051251834373,0.11897368959032664,13.758741853338542,87.33360501863517,1326.4786352847325,14154.738814735398,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0004.npz
SYN_0005,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_92352620.npz,5.474395269958887,0.10562685345394364,38.514297015851774,89.83754866217105,1327.0850086779421,11157.032170580886,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0005.npz
SYN_0006,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_38846515.npz,14.61711852699843,0.036525990271799993,10.846467740096223,87.37852463112966,1330.3920907862134,1334.1479653356278,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0006.npz
SYN_0007,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_281459670.npz,20.4246058457928,0.0712012686421263,42.470518822602685,88.50132551001124,1331.6787302288922,5069.6206562482375,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0007.npz
SYN_0008,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_355703913.npz,24.338166367407254,0.06424697306422442,17.974764676860985,88.41247751987488,1328.7002031915342,4127.673547915178,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0008.npz
SYN_0009,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_38846515.npz,6.797337871778141,0.011030717765140773,40.411596987596226,88.32425428296015,1331.868577270256,121.67673441419224,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0009.npz
SYN_0010,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_231670397.npz,14.308557490611859,0.08962376743340511,11.290864915744585,85.57265036767987,1334.8640782273606,8032.419688957087,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0010.npz
SYN_0011,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_raw\TIC_355703913.npz,14.661789978150843,0.08913305490736642,39.424948583721154,88.17359160000295,1333.4153489038706,7944.701477119597,0,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_injected\SYN_0011.npz
